review_text,rating,review_date,product,category
색상이 사진과 조금 다르지만 품질은 좋습니다.,4,2026-06-12,요가매트 프로,운동/피트니스
"Very good grip, doesn't slide during yoga sessions.",5,2026-06-12,요가매트 프로,운동/피트니스
가격 대비 훌륭한 품질입니다. 추천해요.,5,2026-06-13,요가매트 프로,운동/피트니스
매트에서 화학 냄새가 심하게 나서 사용을 못하겠어요.,1,2026-06-28,요가매트 프로,운동/피트니스
기대했던 것보다 전반적으로 아쉬운 제품이었습니다.,2,2026-06-30,요가매트 프로,운동/피트니스
운동 후 마사지용으로 딱 좋아요. 근육통이 확 줄었어요.,5,2026-06-03,폼롤러 릴렉스,운동/피트니스
표면 돌기가 너무 딱딱해서 아파요.,2,2026-06-06,폼롤러 릴렉스,운동/피트니스
크기가 적당해서 집에서 쓰기 좋습니다.,4,2026-06-09,폼롤러 릴렉스,운동/피트니스
며칠 쓰니 표면이 갈라지기 시작했어요.,1,2026-06-25,폼롤러 릴렉스,운동/피트니스
가성비 좋고 튼튼해요. 만족스러운 구매였습니다.,5,2026-06-16,폼롤러 릴렉스,운동/피트니스
"Solid build quality, helps a lot with post-workout recovery.",4,2026-06-18,폼롤러 릴렉스,운동/피트니스
보온이 정말 잘 돼요. 아침에 담은 커피가 저녁까지 따뜻해요.,5,2026-06-02,스테인리스 텀블러 프로스트,주방용품
뚜껑 마감이 부실해서 가방 안에서 새요.,1,2026-06-04,스테인리스 텀블러 프로스트,주방용품
디자인 예쁘고 그립감도 좋아요. 선물용으로도 추천!,5,2026-06-07,스테인리스 텀블러 프로스트,주방용품
생각보다 무거워서 들고 다니기 조금 불편해요.,3,2026-06-10,스테인리스 텀블러 프로스트,주방용품
세척이 쉬워서 관리하기 편합니다.,4,2026-06-13,스테인리스 텀블러 프로스트,주방용품
"Keeps drinks cold for hours, exactly what I needed.",5,2026-06-15,스테인리스 텀블러 프로스트,주방용품
냄새가 잘 안 빠져요. 실망스럽습니다.,2,2026-06-26,스테인리스 텀블러 프로스트,주방용품
뚜껑 나사산이 헐거워져서 반품했습니다.,1,2026-06-29,스테인리스 텀블러 프로스트,주방용품
버튼 하나로 작동돼서 정말 편해요. 아침 스무디 만들기 최고!,5,2026-06-01,원터치 블렌더 미니,주방용품
소음이 생각보다 커서 아침에 쓰기 눈치보여요.,3,2026-06-05,원터치 블렌더 미니,주방용품
세척이 간편하고 크기도 작아서 자취방에 딱이에요.,4,2026-06-08,원터치 블렌더 미니,주방용품
모터 소리가 이상해지더니 며칠 만에 고장났어요.,1,2026-06-24,원터치 블렌더 미니,주방용품
가성비 훌륭하고 얼음도 잘 갈려요. 추천합니다.,5,2026-06-17,원터치 블렌더 미니,주방용품
"Works great for smoothies, easy to clean too.",4,2026-06-19,원터치 블렌더 미니,주방용품
누수가 있어서 사용할 때마다 물이 샙니다.,2,2026-06-27,원터치 블렌더 미니,주방용품
건조 속도가 빨라서 아침 준비 시간이 확 줄었어요.,5,2026-06-03,헤어드라이기 실크샤인,뷰티/미용
바람이 너무 뜨거워서 두피가 화끈거려요.,2,2026-06-06,헤어드라이기 실크샤인,뷰티/미용
가볍고 소음도 적당해서 만족스럽습니다.,4,2026-06-09,헤어드라이기 실크샤인,뷰티/미용
전원 코드가 짧아서 콘센트 위치를 자주 옮겨야 해요.,3,2026-06-12,헤어드라이기 실크샤인,뷰티/미용
머릿결이 부드러워지는 느낌이에요. 추천합니다.,5,2026-06-15,헤어드라이기 실크샤인,뷰티/미용
"Dries hair fast without damaging it, love this product.",5,2026-06-18,헤어드라이기 실크샤인,뷰티/미용
일주일 만에 작동이 멈췄습니다. 불량품인 것 같아요.,1,2026-06-25,헤어드라이기 실크샤인,뷰티/미용
고객센터 응대가 불친절했어요.,1,2026-06-30,헤어드라이기 실크샤인,뷰티/미용
피부에 밀착이 잘 되고 촉촉해요. 재구매 의사 있습니다.,5,2026-06-02,마스크팩 세트 글로우,뷰티/미용
향이 너무 강해서 거부감이 들었어요.,2,2026-06-05,마스크팩 세트 글로우,뷰티/미용
가격도 저렴하고 효과도 괜찮아요.,4,2026-06-08,마스크팩 세트 글로우,뷰티/미용
포장이 뜯어진 채로 왔어요. 위생이 걱정됩니다.,1,2026-06-11,마스크팩 세트 글로우,뷰티/미용
피부가 확실히 촉촉해지는 느낌이라 만족합니다.,5,2026-06-14,마스크팩 세트 글로우,뷰티/미용
"Hydrating and gentle on sensitive skin, will buy again.",5,2026-06-20,마스크팩 세트 글로우,뷰티/미용
사용 후 트러블이 났어요. 저랑 안 맞는 것 같아요.,2,2026-06-26,마스크팩 세트 글로우,뷰티/미용
시간 맞춰 자동으로 급여돼서 정말 편해요. 강추합니다.,5,2026-06-01,강아지 자동급식기 스마트핏,반려동물용품
앱 연동이 자꾸 끊겨서 스케줄이 틀어져요.,2,2026-06-04,강아지 자동급식기 스마트핏,반려동물용품
용량이 넉넉해서 며칠 집을 비워도 안심됩니다.,5,2026-06-07,강아지 자동급식기 스마트핏,반려동물용품
작동 소리가 커서 강아지가 놀라는 것 같아요.,3,2026-06-10,강아지 자동급식기 스마트핏,반려동물용품
세척이 쉬워서 위생적으로 관리하기 좋아요.,4,2026-06-13,강아지 자동급식기 스마트핏,반려동물용품
"Works reliably every day, my dog loves the consistent schedule.",5,2026-06-19,강아지 자동급식기 스마트핏,반려동물용품
모터가 멈춰서 사료가 안 나옵니다. 급하게 반품했어요.,1,2026-06-24,강아지 자동급식기 스마트핏,반려동물용품
설명서가 부실해서 초기 설정이 너무 어려웠어요.,2,2026-06-28,강아지 자동급식기 스마트핏,반려동물용품
우리 고양이가 정말 좋아해요! 튼튼하게 잘 만들어졌습니다.,5,2026-06-03,고양이 스크래처 캣타워,반려동물용품
조립이 너무 복잡하고 설명서가 헷갈려요.,2,2026-06-06,고양이 스크래처 캣타워,반려동물용품
크기가 커서 거실 한켠을 잘 차지하는데 디자인은 예뻐요.,4,2026-06-09,고양이 스크래처 캣타워,반려동물용품
고양이가 긁으니까 먼지가 많이 날려요.,3,2026-06-12,고양이 스크래처 캣타워,반려동물용품
가격 대비 튼튼하고 안정감 있어서 만족합니다.,5,2026-06-16,고양이 스크래처 캣타워,반려동물용품
"Sturdy and well-built, my cats use it every day.",5,2026-06-21,고양이 스크래처 캣타워,반려동물용품
배송 중 파손되어 왔습니다. 실망스러워요.,1,2026-06-29,고양이 스크래처 캣타워,반려동물용품
이번에도 배송 빠르고 포장 꼼꼼해서 좋았어요.,5,2026-06-19,블루투스 이어폰 X100,전자기기
평범하게 잘 쓰고 있어요. 특별히 나쁘진 않습니다.,3,2026-06-20,보조배터리 파워팩 P20,전자기기
이번 주 들어서 전원이 자꾸 나갑니다. 불량 의심돼요.,1,2026-06-30,무선 청소기 클린업 V2,생활가전
두 번째 구매인데 여전히 만족스럽습니다. 강력 추천!,5,2026-06-21,요가매트 프로,운동/피트니스
"Solid build and keeps coffee hot all morning, very satisfied.",5,2026-06-22,스테인리스 텀블러 프로스트,주방용품
그냥저냥 무난하게 쓰고 있어요.,3,2026-06-23,원터치 블렌더 미니,주방용품
피부 진정 효과가 확실히 느껴져서 재구매했어요.,5,2026-06-23,마스크팩 세트 글로우,뷰티/미용
고정 나사가 헐거워서 흔들거려요. 다시 조여야 했습니다.,2,2026-06-30,고양이 스크래처 캣타워,반려동물용품
통화 품질도 선명해서 업무용으로도 만족스러워요.,5,2026-06-18,블루투스 이어폰 X100,전자기기
케이스 마감이 조잡한 편이라 아쉬워요.,3,2026-06-20,블루투스 이어폰 X100,전자기기
방수 기능 덕분에 운동할 때도 편하게 씁니다.,5,2026-06-21,블루투스 이어폰 X100,전자기기
좌우 밸런스가 안 맞아서 한쪽만 크게 들려요.,2,2026-06-29,블루투스 이어폰 X100,전자기기
Battery life is impressive for my daily commute.,5,2026-06-22,블루투스 이어폰 X100,전자기기
"여행 다닐 때 필수템이에요, 용량 진짜 커요.",5,2026-06-10,보조배터리 파워팩 P20,전자기기
발열이 좀 있는 편이라 신경쓰여요.,3,2026-06-12,보조배터리 파워팩 P20,전자기기
디자인이 슬림해서 가방에 넣기 편합니다.,4,2026-06-15,보조배터리 파워팩 P20,전자기기
표시등이 부정확해서 잔량 확인이 어려워요.,2,2026-06-18,보조배터리 파워팩 P20,전자기기
무상 AS 대응이 빨라서 좋았습니다.,4,2026-06-20,보조배터리 파워팩 P20,전자기기
"Charges two devices at once, very convenient for trips.",5,2026-06-22,보조배터리 파워팩 P20,전자기기
목에 거는 방식이라 손이 자유로워서 좋아요.,5,2026-06-13,휴대용 미니 선풍기 S3,생활가전
바람 세기 조절이 3단계뿐이라 아쉬워요.,3,2026-06-15,휴대용 미니 선풍기 S3,생활가전
휴대성 하나는 정말 최고입니다.,5,2026-06-16,휴대용 미니 선풍기 S3,생활가전
충전 단자가 헐거워져서 충전이 잘 안돼요.,1,2026-06-26,휴대용 미니 선풍기 S3,생활가전
아이 유치원 갈 때 챙겨주기 딱이에요.,4,2026-06-19,휴대용 미니 선풍기 S3,생활가전
가격 대비 조용한 편이라 만족합니다.,4,2026-06-21,휴대용 미니 선풍기 S3,생활가전
"Small and lightweight, perfect for summer festivals.",5,2026-06-23,휴대용 미니 선풍기 S3,생활가전
헤드 교체가 쉬워서 용도별로 바꿔쓰기 편해요.,4,2026-06-04,무선 청소기 클린업 V2,생활가전
필터 세척 주기가 짧아서 관리가 번거로워요.,2,2026-06-07,무선 청소기 클린업 V2,생활가전
침대 밑처럼 좁은 공간도 잘 들어갑니다.,5,2026-06-09,무선 청소기 클린업 V2,생활가전
배터리 완충까지 시간이 너무 오래 걸려요.,2,2026-06-13,무선 청소기 클린업 V2,생활가전
반려동물 털 청소에 효과 만점입니다.,5,2026-06-16,무선 청소기 클린업 V2,생활가전
무게중심이 안 맞아서 팔이 아파요.,2,2026-06-27,무선 청소기 클린업 V2,생활가전
Great suction power for a cordless vacuum.,4,2026-06-19,무선 청소기 클린업 V2,생활가전
두께감이 좋아서 바닥 충격이 잘 흡수돼요.,5,2026-06-14,요가매트 프로,운동/피트니스
말아서 보관하기 편해서 좋습니다.,4,2026-06-15,요가매트 프로,운동/피트니스
시간이 지나니 표면이 벗겨지기 시작했어요.,2,2026-06-27,요가매트 프로,운동/피트니스
색상이 화사해서 기분 좋게 운동하게 돼요.,5,2026-06-17,요가매트 프로,운동/피트니스
"Comfortable padding, great for home workouts.",5,2026-06-18,요가매트 프로,운동/피트니스
매일 스트레칭할 때 유용하게 쓰고 있어요.,5,2026-06-05,폼롤러 릴렉스,운동/피트니스
표면 돌기가 생각보다 자극이 세요.,3,2026-06-08,폼롤러 릴렉스,운동/피트니스
크기가 작아서 휴대하기 좋아요.,4,2026-06-11,폼롤러 릴렉스,운동/피트니스
오래 쓰니 표면이 물러지는 느낌이에요.,2,2026-06-26,폼롤러 릴렉스,운동/피트니스
통증 완화에 확실히 도움이 됐어요.,5,2026-06-14,폼롤러 릴렉스,운동/피트니스
색상이 화면과 달라서 아쉬웠어요.,3,2026-06-15,폼롤러 릴렉스,운동/피트니스
무릎 마사지용으로도 잘 쓰고 있어요.,4,2026-06-17,폼롤러 릴렉스,운동/피트니스
처음 쓸 때 너무 아파서 적응이 필요해요.,3,2026-06-19,폼롤러 릴렉스,운동/피트니스
Great for myofascial release after long runs.,5,2026-06-20,폼롤러 릴렉스,운동/피트니스
"얼음이 다음날까지 안 녹아요, 보냉력 최고예요.",5,2026-06-03,스테인리스 텀블러 프로스트,주방용품
손잡이가 없어서 미끄러울 때가 있어요.,3,2026-06-06,스테인리스 텀블러 프로스트,주방용품
각인 서비스가 있어서 선물하기 좋았습니다.,5,2026-06-09,스테인리스 텀블러 프로스트,주방용품
안쪽 코팅이 벗겨지기 시작했어요.,1,2026-06-25,스테인리스 텀블러 프로스트,주방용품
사이즈가 딱 적당해서 가방에 쏙 들어가요.,4,2026-06-16,스테인리스 텀블러 프로스트,주방용품
Perfect for keeping my coffee hot during long meetings.,5,2026-06-18,스테인리스 텀블러 프로스트,주방용품
씻기 편해서 매일 아침 부담없이 써요.,5,2026-06-04,원터치 블렌더 미니,주방용품
날이 약해서 얼음은 잘 안 갈려요.,2,2026-06-07,원터치 블렌더 미니,주방용품
디자인이 예뻐서 주방에 두기 좋아요.,4,2026-06-10,원터치 블렌더 미니,주방용품
작동 중 뚜껑이 살짝 열려서 놀랐어요.,2,2026-06-25,원터치 블렌더 미니,주방용품
아이 이유식 만들 때도 유용하게 써요.,5,2026-06-14,원터치 블렌더 미니,주방용품
용량이 작아서 1인분 만들기 딱 좋아요.,4,2026-06-16,원터치 블렌더 미니,주방용품
Compact size fits perfectly on my small counter.,4,2026-06-20,원터치 블렌더 미니,주방용품
이온 기능 덕분에 정전기가 줄었어요.,5,2026-06-04,헤어드라이기 실크샤인,뷰티/미용
손잡이가 무거워서 오래 들고 있기 힘들어요.,3,2026-06-07,헤어드라이기 실크샤인,뷰티/미용
온도 조절 버튼이 직관적이라 편해요.,4,2026-06-10,헤어드라이기 실크샤인,뷰티/미용
며칠 쓰니 냄새가 나기 시작했어요.,2,2026-06-26,헤어드라이기 실크샤인,뷰티/미용
여행용으로도 크기가 적당해요.,4,2026-06-13,헤어드라이기 실크샤인,뷰티/미용
바람 세기가 약한 편이라 건조 시간이 길어요.,2,2026-06-16,헤어드라이기 실크샤인,뷰티/미용
"Dries hair quickly without frizz, very satisfied.",5,2026-06-19,헤어드라이기 실크샤인,뷰티/미용
트러블 없이 순하게 잘 맞아요.,5,2026-06-04,마스크팩 세트 글로우,뷰티/미용
시트가 얇아서 잘 찢어져요.,2,2026-06-07,마스크팩 세트 글로우,뷰티/미용
향이 은은해서 부담스럽지 않아요.,4,2026-06-10,마스크팩 세트 글로우,뷰티/미용
밀착력이 떨어져서 흘러내려요.,2,2026-06-27,마스크팩 세트 글로우,뷰티/미용
가성비 좋아서 자주 재구매하고 있어요.,5,2026-06-15,마스크팩 세트 글로우,뷰티/미용
유통기한이 얼마 안 남은 채로 왔어요.,1,2026-06-29,마스크팩 세트 글로우,뷰티/미용
Leaves my skin feeling refreshed and hydrated.,5,2026-06-18,마스크팩 세트 글로우,뷰티/미용
여행 갈 때 걱정 없이 쓸 수 있어요.,5,2026-06-02,강아지 자동급식기 스마트핏,반려동물용품
소분량 설정이 세밀하지 않아서 아쉬워요.,3,2026-06-05,강아지 자동급식기 스마트핏,반려동물용품
배터리로도 작동돼서 정전 걱정이 없어요.,5,2026-06-08,강아지 자동급식기 스마트핏,반려동물용품
사료가 가끔 걸려서 안 나올 때가 있어요.,2,2026-06-25,강아지 자동급식기 스마트핏,반려동물용품
앱 알림 기능이 유용합니다.,4,2026-06-11,강아지 자동급식기 스마트핏,반려동물용품
조립 부품이 헐거워서 흔들거려요.,2,2026-06-27,강아지 자동급식기 스마트핏,반려동물용품
"Reliable feeding schedule, my dog loves it.",5,2026-06-14,강아지 자동급식기 스마트핏,반려동물용품
높이가 있어서 우리 고양이가 좋아해요.,5,2026-06-04,고양이 스크래처 캣타워,반려동물용품
마감이 거칠어서 발톱에 걸릴 때가 있어요.,2,2026-06-07,고양이 스크래처 캣타워,반려동물용품
색상이 인테리어랑 잘 어울려요.,4,2026-06-10,고양이 스크래처 캣타워,반려동물용품
기둥이 얇아서 흔들림이 좀 있어요.,2,2026-06-26,고양이 스크래처 캣타워,반려동물용품
스크래치 부분이 튼튼해서 오래 쓸 수 있을 것 같아요.,5,2026-06-13,고양이 스크래처 캣타워,반려동물용품
조립 설명서가 그림만 있어서 헷갈렸어요.,3,2026-06-15,고양이 스크래처 캣타워,반려동물용품
"Spacious platforms, my cats fight over the top spot.",5,2026-06-17,고양이 스크래처 캣타워,반려동물용품
音质非常好，佩戴也很舒适，强烈推荐！,5,2026-06-09,블루투스 이어폰 X100,전자기기
电池两周就坏了，充电速度也很慢，很失望。,1,2026-06-24,보조배터리 파워팩 P20,전자기기
体积小巧，风力也不错，夏天出门必备。,5,2026-06-12,휴대용 미니 선풍기 S3,생활가전
吸力还可以，但是电池续航有点短。,3,2026-06-17,무선 청소기 클린업 V2,생활가전
厚度适中，防滑效果很好，做瑜伽很舒服。,5,2026-06-08,요가매트 프로,운동/피트니스
表面很快就开始磨损，质量一般。,2,2026-06-22,폼롤러 릴렉스,운동/피트니스
保温效果超棒，一整天喝的水都还是热的。,5,2026-06-11,스테인리스 텀블러 프로스트,주방용품
使用还算方便，不过噪音有点大。,3,2026-06-19,원터치 블렌더 미니,주방용품
吹干速度很快，头发也不会毛躁，很满意。,4,2026-06-14,헤어드라이기 실크샤인,뷰티/미용
用了以后皮肤有点刺痛，可能不适合敏感肌。,2,2026-06-25,마스크팩 세트 글로우,뷰티/미용
定时喂食功能很准确，出差也不用担心了。,5,2026-06-16,강아지 자동급식기 스마트핏,반려동물용품
猫咪还算喜欢，不过组装说明书不太清楚。,3,2026-06-20,고양이 스크래처 캣타워,반려동물용품
音质非常好，连接也很稳定，整体非常满意。,5,2026-07-01,블루투스 이어폰 X100,전자기기
配送速度很快，第二天就收到了，包装也很好。,5,2026-07-02,블루투스 이어폰 X100,전자기기
耳机戴起来很舒服，长时间使用也不会觉得疼。,4,2026-07-03,블루투스 이어폰 X100,전자기기
设计很好看，但是电池消耗得比想象中快。,3,2026-07-04,블루투스 이어폰 X100,전자기기
连接经常中断，使用起来很不方便。,2,2026-07-05,블루투스 이어폰 X100,전자기기
用了几天以后就坏了，对产品质量很失望。,1,2026-07-06,블루투스 이어폰 X100,전자기기
客服回复很快，而且很亲切地解决了我的问题。,5,2026-07-07,블루투스 이어폰 X100,전자기기
客服一直没有回复，退款处理也非常慢。,1,2026-07-08,블루투스 이어폰 X100,전자기기
充电速度很快，容量也足够大，非常实用。,5,2026-07-09,보조배터리 파워팩 P20,전자기기
价格合理，性能也不错，性价比很高。,5,2026-07-10,보조배터리 파워팩 P20,전자기기
产品有点重，随身携带不是很方便。,3,2026-07-11,보조배터리 파워팩 P20,전자기기
不用的时候电池也掉得很快，让人有点失望。,2,2026-07-12,보조배터리 파워팩 P20,전자기기
充电线接口很松，经常会停止充电。,2,2026-07-13,보조배터리 파워팩 P20,전자기기
产品很结实，使用了一段时间也没有出现问题。,5,2026-07-14,보조배터리 파워팩 P20,전자기기
风力很强，而且机身很轻，夏天使用很方便。,5,2026-07-15,휴대용 미니 선풍기 S3,생활가전
充电很快，电池续航时间也比预想的长。,5,2026-07-16,휴대용 미니 선풍기 S3,생활가전
风力一般，没有想象中那么强。,3,2026-07-17,휴대용 미니 선풍기 S3,생활가전
噪音有点大，在安静的地方使用会比较明显。,2,2026-07-18,휴대용 미니 선풍기 S3,생활가전
收到商品时包装已经损坏，产品表面也有划痕。,1,2026-07-19,휴대용 미니 선풍기 S3,생활가전
外观简洁漂亮，操作也很简单，总体来说很满意。,4,2026-07-20,휴대용 미니 선풍기 S3,생활가전
